# O Ídolo de Lady Scale / The Idol of Lady Scale
## 📜 Resumo Narrativo Bilingue  
**Sessão 28 — O Ídolo de Lady Scale / The Idol of Lady Scale**

| Português (PT-PT)                                                                                                                                                                                                                                                                                                                                                                                                          | English (EN-US)                                                                                                                                                                                                                                                                                                                                                                                  |
| -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 📅 Data: 2025-07-17                                                                                                                                                                                                                                                                                                                                                                                                        | 📅 Date: 2025-07-17                                                                                                                                                                                                                                                                                                                                                                              |
| 📍 Localização: Cidade Livre de Greyhawk + Estrada para as Terras Altas                                                                                                                                                                                                                                                                                                                                                    | 📍 Location: Free City of Greyhawk + Road to the Highlands                                                                                                                                                                                                                                                                                                                                       |
| 📝 Descrição: Os aventureiros conhecem Lady Silvra Malren, uma nobre excêntrica que herdou uma antiga propriedade sem localização clara. A carta associada, em dracónico arcaico, é decifrada por Eldric, revelando pistas sobre uma estância esquecida. Consultam fontes na cidade — uma livraria e a Grande Biblioteca — e partem em direção às montanhas. No caminho, são emboscados por goblins, mas repelem o ataque. | 📝 Description: The adventurers meet Lady Silvra Malren, an eccentric noble who inherited a mysterious estate with an unclear location. A letter in archaic Draconic is decoded by Eldric, revealing clues about a forgotten spa. They consult city sources — a bookstore and the Great Library — and head toward the highlands. On the road, they are ambushed by goblins but repel the attack. |
| 🎲 Jogadores: Ivo Simões, Leonel Pereira, Luis Miguel Henriques                                                                                                                                                                                                                                                                                                                                                            | 🎲 Players: Ivo Simões, Leonel Pereira, Luis Miguel Henriques                                                                                                                                                                                                                                                                                                                                    |
| 🧙‍♂️ PCs: Eldric Silvanus, Silfir, Bok Thunderfist                                                                                                                                                                                                                                                                                                                                                                        | 🧙‍♂️ PCs: Eldric Silvanus, Silfir, Bok Thunderfist                                                                                                                                                                                                                                                                                                                                              |
| 👥 NPCs: Lady Silvra Malren, Wenla Frott, Mistress Lyral Quil, Gangue de Goblins                                                                                                                                                                                                                                                                                                                                           | 👥 NPCs: Lady Silvra Malren, Wenla Frott, Mistress Lyral Quil, Goblin Gang                                                                                                                                                                                                                                                                                                                       |
| 🎯 Missão: <br>- Compreender o legado de Lady Silvra. <br>- Obter pistas sobre a localização da propriedade perdida. <br>- Sobreviver ao caminho até às terras altas.                                                                                                                                                                                                                                                      | 🎯 Mission: <br>- Understand Lady Silvra’s inheritance. <br>- Gather clues to locate the lost estate. <br>- Survive the journey to the highlands.                                                                                                                                                                                                                                                |
| 📌 Locais & Pistas: <br>- Solar de Lady Silvra: título de propriedade e carta.<br>- Livraria de Wenla: vaga memória de uma estância.<br>- Grande Biblioteca: língua dracónica, lições futuras.<br>- Estrada do Norte: emboscada goblin.                                                                                                                                                                                    | 📌 Locations & Clues: <br>- Lady Silvra’s Manor: property title and letter.<br>- Wenla’s Bookshop: vague memory of a spa.<br>- Great Library: Draconic language, future lessons.<br>- Northern Road: goblin ambush.                                                                                                                                                                              |
| 📜 Desenrolar da Sessão: <br>- Conhecem Lady Silvra e obtêm o gancho da missão.<br>- Eldric traduz carta em dracónico antigo.<br>- Visitam Wenla e a biblioteca para recolher pistas.<br>- Eldric impressiona Lyral e marca lições.<br>- Partem da cidade e enfrentam emboscada goblin.                                                                                                                                    | 📜 Session Summary: <br>- Meet Lady Silvra and receive the quest hook.<br>- Eldric deciphers the ancient Draconic letter.<br>- Visit Wenla and the library to gather clues.<br>- Eldric impresses Lyral and secures lessons.<br>- Leave city and fight off goblin ambush.                                                                                                                        |
| 🏆 Recompensas & Consequências: <br>- Ligação com Lady Silvra.<br>- Flertes com Lyral.<br>- Um chefe goblin escapa — possível retorno.                                                                                                                                                                                                                                                                                     | 🏆 Rewards & Consequences: <br>- Bond with Lady Silvra.<br>- Flirtation with Lyral.<br>- Goblin boss escapes — potential future threat.                                                                                                                                                                                                                                                          |
| 💰 Loot: Carta do Legado, direções vagas, dívidas futuras com goblins                                                                                                                                                                                                                                                                                                                                                      | 💰 Loot: Inheritance Letter, vague directions, future goblin problems                                                                                                                                                                                                                                                                                                                            |
| 📂 Ficheiros de origem: s28_idolo_lady_scale.md                                                                                                                                                                                                                                                                                                                                                                            | 📂 Source files: s28_idol_lady_scale.md                                                                                                                                                                                                                                                                                                                                                          |


<!-- ==== s29_idolo_de_lady_scale_summary.md ==== -->

# O Ídolo de Lady Scale / The Idol of Lady Scale

## 📜 Resumo Narrativo Bilingue  
**Sessão 29 — O Ídolo de Lady Scale / The Idol of Lady Scale**

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | English                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 📅 Data: 2025-07-24                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 📅 Date: 2025-07-24                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 📍 Localização: Terras Altas & Ruínas Submersas                                                                                                                                                                                                                                                                                                                                                                                                                                     | 📍 Location: Highland Trails & Submerged Ruins                                                                                                                                                                                                                                                                                                                                                                                                      |
| 📝 Descrição: O grupo encontra Wandering Sage acampado nas montanhas e recruta-o. Avançam pelas terras altas e têm um encontro diplomático com trogloditas entre ruínas antigas. Eldric engana-os com uma história convincente, evitando conflito. Há uma troca cultural onde os aventureiros ensinam a cozinhar, e recebem membros da tribo em troca de adagas. Investigam ruínas submersas, mas o local não é o esperado. Após combate, escapam e continuam em busca da estância. | 📝 Description: The party finds Wandering Sage camped in the highlands and recruits him. They continue through the mountains and engage in diplomacy with lizardfolk among ancient ruins. Eldric bluffs them convincingly, avoiding conflict. A cultural exchange follows — cooking lessons traded for daggers and lizardfolk. They investigate submerged ruins, but it’s not the expected spa. After combat, they escape and resume their journey. |
| 🎲 Jogadores: Ivo Simões, Leonel Pereira, Luis Miguel Henriques, Hugo Ferreira                                                                                                                                                                                                                                                                                                                                                                                                      | 🎲 Players: Ivo Simões, Leonel Pereira, Luis Miguel Henriques, Hugo Ferreira                                                                                                                                                                                                                                                                                                                                                                        |
| 🧙‍♂️ PCs: Eldric Silvanus, Silfir, Bok Thunderfist, Wandering Sage                                                                                                                                                                                                                                                                                                                                                                                                                 | 🧙‍♂️ PCs: Eldric Silvanus, Silfir, Bok Thunderfist, Wandering Sage                                                                                                                                                                                                                                                                                                                                                                                 |
| 👥 NPCs: Sacerdotisa Lizardfolk, Acólitos Lizardfolk                                                                                                                                                                                                                                                                                                                                                                                                                                | 👥 NPCs: Lizardfolk High Priestess, Lizardfolk Acolytes                                                                                                                                                                                                                                                                                                                                                                                             |
| 🎯 Missão: <br>- Recrutar Wandering Sage.<br>- Diplomacia com os trogloditas.<br>- Explorar ruínas submersas.<br>- Continuar a busca pela estância lendária.                                                                                                                                                                                                                                                                                                                        | 🎯 Mission: <br>- Recruit Wandering Sage.<br>- Negotiate with lizardfolk.<br>- Explore submerged ruins.<br>- Continue search for the legendary spa.                                                                                                                                                                                                                                                                                                 |
| 📌 Locais & Pistas: <br>- Acampamento de Wandering Sage.<br>- Ruínas antigas com tribo dividida.<br>- Troca cultural (culinária e adagas).<br>- Ruínas submersas ligadas à lagoa azul.                                                                                                                                                                                                                                                                                              | 📌 Locations & Clues: <br>- Wandering Sage’s camp.<br>- Ancient ruins with a divided tribe.<br>- Cultural exchange (cooking and daggers).<br>- Submerged ruins linked to blue lagoon clue.                                                                                                                                                                                                                                                          |
